iter	Passed	Remaining
0	159	158887
1	181	90697
2	192	63852
3	201	50264
4	213	42418
5	223	36953
6	233	33058
7	243	30154
8	251	27747
9	262	25964
10	271	24383
11	280	23091
12	289	21982
13	298	20999
14	306	20153
15	316	19455
16	324	18754
17	332	18153
18	340	17593
19	348	17087
20	356	16627
21	365	16237
22	373	15874
23	381	15518
24	390	15220
25	399	14976
26	408	14732
27	416	14466
28	424	14224
29	433	14032
30	442	13822
31	451	13649
32	459	13464
33	468	13321
34	477	13175
35	487	13047
36	497	12953
37	506	12829
38	526	12981
39	548	13162
40	564	13212
41	578	13185
42	589	13128
43	599	13032
44	610	12948
45	618	12833
46	632	12823
47	646	12827
48	659	12807
49	670	12745
50	682	12692
51	692	12629
52	706	12615
53	714	12525
54	724	12440
55	732	12345
56	741	12268
57	750	12181
58	759	12114
59	769	12048
60	780	12015
61	790	11954
62	798	11872
63	806	11794
64	815	11727
65	823	11660
66	832	11592
67	841	11526
68	849	11462
69	858	11405
70	866	11342
71	875	11284
72	883	11224
73	892	11169
74	900	11111
75	910	11064
76	918	11014
77	927	10969
78	937	10931
79	948	10908
80	959	10885
81	967	10832
82	976	10783
83	984	10733
84	993	10693
85	1002	10657
86	1011	10610
87	1019	10570
88	1028	10526
89	1037	10493
90	1046	10454
91	1056	10426
92	1064	10381
93	1073	10348
94	1083	10324
95	1093	10292
96	1103	10268
97	1112	10242
98	1122	10214
99	1131	10180
100	1142	10165
101	1151	10140
102	1161	10114
103	1170	10087
104	1181	10072
105	1190	10043
106	1201	10030
107	1215	10037
108	1226	10029
109	1235	9995
110	1244	9964
111	1252	9934
112	1261	9903
113	1270	9872
114	1278	9839
115	1287	9809
116	1295	9775
117	1304	9748
118	1312	9718
119	1321	9694
120	1331	9671
121	1339	9643
122	1347	9610
123	1356	9580
124	1365	9555
125	1373	9526
126	1381	9494
127	1389	9466
128	1397	9437
129	1406	9410
130	1415	9387
131	1424	9365
132	1433	9342
133	1441	9318
134	1450	9295
135	1459	9274
136	1469	9257
137	1479	9239
138	1488	9222
139	1498	9205
140	1507	9182
141	1515	9159
142	1524	9135
143	1533	9117
144	1542	9094
